complexity constraints variables duration
2 235 231 20
3 332 335 17
4 449 464 27
5 566 593 33
6 708 752 48
7 892 963 71
8 1081 1179 98
9 1298 1431 134
10 1477 1635 170
11 1750 1954 229
12 1950 2184 284
13 2318 2621 383
14 2498 2825 434
15 2849 3241 549
16 3224 3684 690
17 3522 4034 814
18 3812 4374 956
19 4349 5017 1241
20 4730 5468 1448
21 5153 5971 1680
22 5422 6286 1876
23 6054 7044 2327
24 6475 7544 2639
25 6995 8166 3032
26 7261 8476 3269
27 7711 9012 3713
28 8228 9629 4267
29 9100 10681 5305
30 9662 11354 6532
31 10156 11943 7787
32 10550 12410 9359
33 11578 13652 12013
34 11743 13841 12451
35 12574 14842 13046
36 12960 15299 14080
37 13810 16323 15514
38 14865 17599 19106
39 15670 18569 21427
40 16136 19124 21700
